label,score,sentence,file
negative,0.5183709263801575,"Global climate change is resulting in certain types of natural disasters, such as droughts, floods, hurricanes and wildfires, occurring more frequently or with more intense effects.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
negative,0.515430748462677,"For example, third parties can fraudulently induce the Company’s or its vendors’ employees or customers into disclosing usernames, passwords or other sensitive information, which can, in turn, be used for unauthorized access to the Company’s or its vendors’ systems and services.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.6751849055290222,"The success of new product and service introductions depends on a number of factors, including timely and successful development, market acceptance, the Company’s ability to manage the risks associated with new technologies and production ramp-up issues, the availability of application software for the Company’s products, the effective management of purchase commitments and inventory levels in line with anticipated product demand, the availability of products in appropriate quantities and at expected costs to meet anticipated demand, and the risk that new products and services may have quality or other defects or deficiencies.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.9503350853919983,The Company retains a commission from sales of applications and sales of digital services or goods initiated within an application.,risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.7185487747192383,"From time to time, the Company has made changes to its App Store, including actions taken in response to competition, market conditions and legal and regulatory requirements.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.5333191752433777,"The Company expects to make further business changes in the future, including as a result of legislative initiatives impacting the App Store, such as the European Union (“EU”) Digital Markets Act, which the Company is required to comply with by March 2024.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.8960525393486023,Changes have included how developers communicate with consumers outside the App Store regarding alternative purchasing mechanisms.,risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.8789817690849304,"Future changes could also affect what the Company charges developers for access to its platforms, how it manages distribution of apps outside of the App Store, and how and to what extent it allows developers to communicate with consumers inside the App Store regarding alternative purchasing mechanisms.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.6889049410820007,"The Company expects to make further business changes in the future, including as a result of legislative initiatives impacting the App Store, such as the EU Digital Markets Act, which the Company is required to comply with by March 2024, or similar laws in other jurisdictions.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.7777316570281982,"For example, the Company earns revenue from licensing arrangements with other companies to offer their search services on the Company’s platforms and applications, and certain of these arrangements are currently subject to government investigations and legal proceedings.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
neutral,0.9334284067153931,"As of September 30, 2023, the Company’s vendor non-trade receivables and prepayments related to long-term supply agreements were concentrated among a few individual vendors located primarily in Asia.",risk_faab4555-c69b-438a-aaf7-e09305f87ca3_2025.txt
